epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.4006,2.63055,2.5209,0.00332,0.45732,0.45038,0.39552,0.16207,2.24911,1.62814,0.00308,0.000658824,0.000658824,0.000658824
2,102.079,2.37482,1.48995,0.00258,0.64133,0.52173,0.55486,0.25039,2.201,1.35975,0.00298,0.00129925,0.00129925,0.00129925
3,135.402,2.30782,1.34759,0.00249,0.68955,0.55829,0.60442,0.27198,2.17234,1.26021,0.00291,0.00191327,0.00191327,0.00191327
4,167.573,2.26117,1.27671,0.00239,0.71959,0.56997,0.61674,0.27837,2.18871,1.19027,0.0029,0.0018812,0.0018812,0.0018812
5,199.902,2.21157,1.18008,0.00234,0.75756,0.59955,0.66357,0.32847,2.06011,1.09849,0.00275,0.0018416,0.0018416,0.0018416
6,231.802,2.21242,1.14365,0.00233,0.76611,0.62327,0.68695,0.33887,2.00413,1.06854,0.00272,0.001802,0.001802,0.001802
7,263.533,2.16254,1.10981,0.00228,0.75742,0.62789,0.68704,0.34531,2.01022,1.07729,0.00268,0.0017624,0.0017624,0.0017624
8,295.039,2.13375,1.05857,0.00223,0.78871,0.65254,0.71414,0.35743,1.97809,0.99639,0.00264,0.0017228,0.0017228,0.0017228
9,326.489,2.121,1.04918,0.00222,0.80441,0.65547,0.72764,0.35834,1.98969,0.971,0.00265,0.0016832,0.0016832,0.0016832
10,357.478,2.12594,1.03049,0.00223,0.79093,0.64992,0.72094,0.36891,1.96111,0.96213,0.0026,0.0016436,0.0016436,0.0016436
11,390.128,2.1265,1.02636,0.00221,0.81732,0.66228,0.73437,0.38347,1.94015,0.92871,0.00257,0.001604,0.001604,0.001604
12,422.026,2.08654,0.9981,0.00216,0.80965,0.67195,0.73272,0.36418,2.01765,0.93179,0.00266,0.0015644,0.0015644,0.0015644
13,453.444,2.07139,0.97693,0.00215,0.81595,0.67736,0.74027,0.37068,1.96765,0.91927,0.00259,0.0015248,0.0015248,0.0015248
14,485.299,2.06961,0.96258,0.00212,0.81012,0.66196,0.73494,0.35845,2.03506,0.93107,0.00267,0.0014852,0.0014852,0.0014852
15,517.377,2.07206,0.96926,0.00214,0.80956,0.68399,0.74731,0.39117,1.93522,0.89341,0.00257,0.0014456,0.0014456,0.0014456
16,549.156,2.06842,0.96916,0.00211,0.83858,0.68468,0.75981,0.39873,1.91846,0.87314,0.00256,0.001406,0.001406,0.001406
17,580.864,2.04974,0.93828,0.00211,0.8344,0.69375,0.75962,0.38992,1.95407,0.88067,0.00259,0.0013664,0.0013664,0.0013664
18,612.585,2.05431,0.95104,0.00208,0.83105,0.6917,0.76129,0.39156,1.95211,0.88063,0.00257,0.0013268,0.0013268,0.0013268
19,644.046,2.02002,0.91951,0.00209,0.83904,0.69529,0.76799,0.3993,1.92377,0.85689,0.00254,0.0012872,0.0012872,0.0012872
20,676.09,2.0618,0.93432,0.00211,0.84074,0.70416,0.77331,0.40349,1.91504,0.8404,0.00254,0.0012476,0.0012476,0.0012476
21,707.001,2.01163,0.91752,0.00206,0.83836,0.69529,0.76491,0.3935,1.92842,0.8737,0.00254,0.001208,0.001208,0.001208
22,739.15,2.00288,0.91234,0.00202,0.83458,0.6976,0.77242,0.41619,1.87971,0.8454,0.00247,0.0011684,0.0011684,0.0011684
23,770.462,2.0066,0.90199,0.00208,0.84708,0.71115,0.78075,0.41563,1.87078,0.82007,0.0025,0.0011288,0.0011288,0.0011288
24,802.455,2.0011,0.90022,0.00204,0.84287,0.70459,0.78002,0.41529,1.89091,0.8315,0.00249,0.0010892,0.0010892,0.0010892
25,833.592,1.98735,0.87773,0.00199,0.84314,0.71792,0.77723,0.40442,1.92464,0.82814,0.00257,0.0010496,0.0010496,0.0010496
26,865.717,1.9917,0.88487,0.00203,0.85919,0.70778,0.78407,0.41893,1.86934,0.81905,0.00245,0.00101,0.00101,0.00101
27,898.217,1.97387,0.8741,0.00197,0.86321,0.7114,0.79083,0.42865,1.85269,0.80794,0.00243,0.0009704,0.0009704,0.0009704
